ID1_clustid	ID2_clustid	ID1	ID2	P1_zscore
0_KOG0478	0_KOG0480	KOG0478	KOG0480	25.752703
0_KOG1375	0_KOG1376	KOG1375	KOG1376	25.752703
0_KOG1540	0_KOG2020	KOG1540	KOG2020	25.752703
0_KOG1462	0_KOG1467	KOG1462	KOG1467	25.752703
0_KOG1540	0_KOG2759	KOG1540	KOG2759	25.752703
0_KOG0858	0_KOG1287	KOG0858	KOG1287	25.752703
0_KOG1540	0_KOG1992	KOG1540	KOG1992	25.752703
0_KOG0057	0_KOG4347	KOG0057	KOG4347	25.752703
0_KOG0480	0_KOG0482	KOG0480	KOG0482	25.752703
0_KOG1059	0_KOG2740	KOG1059	KOG2740	25.752703
0_KOG1540	0_KOG2978	KOG1540	KOG2978	25.752703
0_KOG0276	0_KOG0292	KOG0276	KOG0292	25.752703
0_KOG0836	0_KOG3174	KOG0836	KOG3174	25.752703
0_KOG1373	0_KOG1540	KOG1373	KOG1540	25.752703
0_KOG0645	0_KOG1967	KOG0645	KOG1967	25.752703
0_KOG0858	0_KOG1607	KOG0858	KOG1607	25.752703
0_KOG1967	0_KOG3381	KOG1967	KOG3381	25.752703
0_KOG1484	0_KOG1607	KOG1484	KOG1607	25.752703
0_KOG0947	0_KOG1127	KOG0947	KOG1127	25.752703
0_KOG1058	0_KOG1078	KOG1058	KOG1078	25.752703
0_KOG0936	0_KOG2740	KOG0936	KOG2740	25.752703
0_KOG0858	0_KOG2759	KOG0858	KOG2759	25.752703
0_KOG0858	0_KOG1540	KOG0858	KOG1540	25.752703
0_KOG1373	0_KOG1484	KOG1373	KOG1484	25.752703
0_KOG0858	0_KOG2978	KOG0858	KOG2978	25.752703
0_KOG0936	0_KOG1059	KOG0936	KOG1059	25.752703
0_KOG0811	0_KOG0858	KOG0811	KOG0858	25.752703
0_KOG0749	0_KOG0858	KOG0749	KOG0858	25.752703
0_KOG0172	0_KOG1540	KOG0172	KOG1540	25.752703
0_KOG0292	0_KOG3081	KOG0292	KOG3081	25.752703
0_KOG0018	0_KOG0964	KOG0018	KOG0964	25.752703
0_KOG1286	0_KOG1992	KOG1286	KOG1992	25.752703
0_KOG0292	0_KOG1078	KOG0292	KOG1078	25.752703
0_KOG0292	0_KOG1058	KOG0292	KOG1058	25.752703
0_KOG1287	0_KOG1540	KOG1287	KOG1540	25.752703
0_KOG1358	0_KOG2941	KOG1358	KOG2941	25.752703
0_KOG0960	0_KOG2067	KOG0960	KOG2067	25.752703
0_KOG0767	0_KOG0858	KOG0767	KOG0858	25.752703
0_KOG0172	0_KOG0731	KOG0172	KOG0731	25.752703
0_KOG0751	0_KOG2978	KOG0751	KOG2978	25.752703
0_KOG3083	0_KOG3090	KOG3083	KOG3090	25.752703
0_KOG1933	0_KOG2292	KOG1933	KOG2292	25.752703
0_KOG1607	0_KOG2941	KOG1607	KOG2941	25.752703
0_KOG1014	0_KOG2020	KOG1014	KOG2020	25.752703
0_KOG1484	0_KOG3094	KOG1484	KOG3094	25.752703
0_KOG1286	0_KOG1607	KOG1286	KOG1607	25.752703
0_KOG0478	0_KOG0482	KOG0478	KOG0482	25.752703
0_KOG0858	0_KOG1373	KOG0858	KOG1373	25.752703
0_KOG1286	0_KOG2957	KOG1286	KOG2957	25.752703
0_KOG2952	0_KOG2957	KOG2952	KOG2957	25.752703
0_KOG0078	0_KOG0858	KOG0078	KOG0858	25.752703
0_KOG1287	0_KOG1607	KOG1287	KOG1607	25.752703
0_KOG1540	0_KOG1607	KOG1540	KOG1607	25.752703
0_KOG1484	0_KOG1889	KOG1484	KOG1889	25.752703
0_KOG1666	0_KOG3202	KOG1666	KOG3202	25.752703
0_KOG1357	0_KOG1889	KOG1357	KOG1889	25.752703
0_KOG1540	0_KOG1889	KOG1540	KOG1889	25.752703
0_KOG0858	0_KOG1435	KOG0858	KOG1435	25.752703
0_KOG1373	0_KOG3094	KOG1373	KOG3094	25.752703
0_KOG1461	0_KOG1462	KOG1461	KOG1462	25.752703
0_KOG1889	0_KOG3094	KOG1889	KOG3094	25.752703
0_KOG1287	0_KOG1373	KOG1287	KOG1373	25.752703
0_KOG1349	0_KOG2459	KOG1349	KOG2459	25.752703
0_KOG1540	0_KOG2443	KOG1540	KOG2443	25.752703
0_KOG0751	0_KOG0858	KOG0751	KOG0858	25.752703
0_KOG1350	0_KOG1662	KOG1350	KOG1662	25.752703
0_KOG0858	0_KOG3767	KOG0858	KOG3767	25.752703
0_KOG3106	0_KOG3767	KOG3106	KOG3767	25.752703
0_KOG0767	0_KOG1540	KOG0767	KOG1540	25.752703
0_KOG1287	0_KOG3767	KOG1287	KOG3767	25.752703
0_KOG1358	0_KOG1484	KOG1358	KOG1484	25.752703
0_KOG1058	0_KOG3081	KOG1058	KOG3081	25.752703
0_KOG1373	0_KOG2759	KOG1373	KOG2759	25.752703
0_KOG1357	0_KOG1484	KOG1357	KOG1484	25.752703
0_KOG1540	0_KOG2941	KOG1540	KOG2941	25.752703
0_KOG1373	0_KOG3187	KOG1373	KOG3187	25.752703
0_KOG1286	0_KOG2667	KOG1286	KOG2667	25.752703
0_KOG3315	0_KOG3487	KOG3315	KOG3487	25.752703
0_KOG1484	0_KOG1540	KOG1484	KOG1540	25.752703
0_KOG0202	0_KOG1889	KOG0202	KOG1889	25.752703
0_KOG2759	0_KOG2941	KOG2759	KOG2941	25.752703
0_KOG1286	0_KOG1484	KOG1286	KOG1484	25.752703
0_KOG0619	0_KOG2952	KOG0619	KOG2952	25.752703
0_KOG1373	0_KOG2941	KOG1373	KOG2941	25.752703
0_KOG1375	0_KOG1540	KOG1375	KOG1540	25.752703
0_KOG1358	0_KOG1540	KOG1358	KOG1540	25.752703
0_KOG0749	0_KOG0759	KOG0749	KOG0759	25.752703
0_KOG0202	0_KOG1484	KOG0202	KOG1484	25.752703
0_KOG1484	0_KOG3187	KOG1484	KOG3187	25.752703
0_KOG0858	0_KOG3342	KOG0858	KOG3342	25.752703
0_KOG1287	0_KOG2292	KOG1287	KOG2292	25.752703
0_KOG1286	0_KOG2020	KOG1286	KOG2020	25.752703
0_KOG0820	0_KOG3767	KOG0820	KOG3767	25.752703
0_KOG0202	0_KOG1540	KOG0202	KOG1540	25.752703
0_KOG1350	0_KOG1353	KOG1350	KOG1353	25.752703
0_KOG1358	0_KOG1373	KOG1358	KOG1373	25.752703
0_KOG0731	0_KOG1540	KOG0731	KOG1540	25.752703
0_KOG1373	0_KOG2443	KOG1373	KOG2443	25.752703
0_KOG2459	0_KOG2552	KOG2459	KOG2552	25.752703
0_KOG2952	0_KOG3342	KOG2952	KOG3342	25.752703
0_KOG1607	0_KOG2729	KOG1607	KOG2729	25.752703
0_KOG1185	0_KOG1540	KOG1185	KOG1540	25.752703
0_KOG2725	0_KOG4444	KOG2725	KOG4444	25.752703
0_KOG1357	0_KOG2941	KOG1357	KOG2941	25.752703
0_KOG1357	0_KOG1358	KOG1357	KOG1358	25.752703
0_KOG0751	0_KOG3767	KOG0751	KOG3767	25.752703
0_KOG0172	0_KOG2978	KOG0172	KOG2978	25.752703
0_KOG1286	0_KOG1889	KOG1286	KOG1889	25.752703
0_KOG1286	0_KOG1692	KOG1286	KOG1692	25.752703
0_KOG0070	0_KOG0858	KOG0070	KOG0858	25.752703
0_KOG1078	0_KOG2635	KOG1078	KOG2635	25.752703
0_KOG1540	0_KOG3187	KOG1540	KOG3187	25.752703
0_KOG0737	0_KOG1652	KOG0737	KOG1652	25.752703
0_KOG0172	0_KOG2759	KOG0172	KOG2759	25.752703
0_KOG1286	0_KOG1373	KOG1286	KOG1373	25.752703
0_KOG0276	0_KOG1058	KOG0276	KOG1058	25.752703
0_KOG0858	0_KOG3094	KOG0858	KOG3094	25.752703
0_KOG0276	0_KOG1078	KOG0276	KOG1078	25.752703
0_KOG2952	0_KOG2978	KOG2952	KOG2978	25.752703
0_KOG0749	0_KOG0751	KOG0749	KOG0751	25.752703
0_KOG0811	0_KOG1540	KOG0811	KOG1540	25.752703
0_KOG1353	0_KOG1662	KOG1353	KOG1662	25.752703
0_KOG1287	0_KOG1435	KOG1287	KOG1435	25.752703
0_KOG0858	0_KOG2729	KOG0858	KOG2729	25.752703
0_KOG2189	0_KOG2957	KOG2189	KOG2957	25.752703
0_KOG0858	0_KOG1889	KOG0858	KOG1889	25.752703
0_KOG1607	0_KOG2864	KOG1607	KOG2864	25.752703
0_KOG1889	0_KOG2443	KOG1889	KOG2443	25.752703
0_KOG1286	0_KOG1540	KOG1286	KOG1540	25.752703
0_KOG0751	0_KOG1358	KOG0751	KOG1358	25.752703
0_KOG2941	0_KOG3187	KOG2941	KOG3187	25.752703
0_KOG1484	0_KOG2443	KOG1484	KOG2443	25.752703
0_KOG1286	0_KOG2443	KOG1286	KOG2443	25.752703
0_KOG0172	0_KOG0858	KOG0172	KOG0858	25.752703
0_KOG0767	0_KOG2978	KOG0767	KOG2978	25.752703
